"SampleID"
"1";"A1"
"2";"A2"
"3";"A3"
"4";"A4"
"5";"A5"
"6";"A6"
"7";"A7"
"8";"A8"
"9";"CONTROL_SAMPLE_AS 1"
"10";"A9"
"11";"A10"
"12";"A11"
"13";"A12"
"14";"A13"
"15";"A14"
"16";"A15"
"17";"A16"
"18";"A17"
"19";"A18"
"20";"CONTROL_SAMPLE_AS 2"
"21";"A19"
"22";"A20"
"23";"A21"
"24";"A22"
"25";"A23"
"26";"A24"
"27";"A25"
"28";"A26"
"29";"A27"
"30";"A28"
"31";"A29"
"32";"A30"
"33";"A31"
"34";"A32"
"35";"A33"
"36";"A34"
"37";"A35"
"38";"A36"
"39";"A37"
"40";"A38"
"41";"A39"
"42";"A40"
"43";"A41"
"44";"A42"
"45";"A43"
"46";"A44"
"47";"A45"
"48";"A46"
"49";"A47"
"50";"A48"
"51";"A49"
"52";"A50"
"53";"A51"
"54";"A52"
"55";"A53"
"56";"A54"
"57";"A55"
"58";"A56"
"59";"A57"
"60";"A58"
"61";"A59"
"62";"A60"
"63";"A61"
"64";"A62"
"65";"A63"
"66";"A64"
"67";"A65"
"68";"A66"
"69";"A67"
"70";"A68"
"71";"A69"
"72";"A70"
"73";"A71"
"74";"A72"
"75";"A73"
"76";"A74"
"77";"A75"
"78";"A76"
"79";"A77"
"80";"B1"
"81";"B2"
"82";"B3"
"83";"B4"
"84";"B5"
"85";"B6"
"86";"B7"
"87";"B8"
"88";"B9"
"89";"B10"
"90";"B11"
"91";"B12"
"92";"B13"
"93";"B14"
"94";"B15"
"95";"B16"
"96";"B17"
"97";"B18"
"98";"B19"
"99";"B20"
"100";"B21"
"101";"B22"
"102";"B23"
"103";"B24"
"104";"B25"
"105";"B26"
"106";"B27"
"107";"B28"
"108";"B29"
"109";"B30"
"110";"B31"
"111";"B32"
"112";"B33"
"113";"B34"
"114";"B35"
"115";"B36"
"116";"B37"
"117";"B38"
"118";"B39"
"119";"B40"
"120";"B41"
"121";"B42"
"122";"B43"
"123";"B44"
"124";"B45"
"125";"B46"
"126";"B47"
"127";"B48"
"128";"B49"
"129";"B50"
"130";"B51"
"131";"B52"
"132";"B53"
"133";"B54"
"134";"B55"
"135";"B56"
"136";"B57"
"137";"B58"
"138";"B59"
"139";"B60"
"140";"B61"
"141";"B62"
"142";"B63"
"143";"B64"
"144";"B65"
"145";"B66"
"146";"B67"
"147";"B68"
"148";"B69"
"149";"B70"
"150";"B71"
"151";"B72"
"152";"B73"
"153";"B74"
"154";"B75"
"155";"B76"
"156";"B77"
"157";"B78"
"158";"B79"
